Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Sidney Jones,Washington,CB,72,186,9.38,31.5,,4.47,,33.5,123,7.02,,
2017,Zay Jones,East Carolina,WR,74,201,9,32.5,,4.45,15,36.5,133,6.79,4.08,
2017,Brad Kaaya,Miami,QB,76,214,9.75,32,,,,,,,,
2017,Kyle Kalis,Michigan,OG,76,308,10.25,32.88,,,,,,,4.62,
2017,Alvin Kamara,Tennessee,RB,70,214,9.25,32.75,,4.56,15,39.5,131,,4.56,11.78
2017,Damontae Kazee,San Diego St.,CB,70,184,8.63,30.88,,4.54,11,34,124,,,
2017,Chad Kelly,Mississippi,QB,74,224,,,,,,,,,4.08,
2017,Desmond King,Iowa,S,70,201,9.63,31.13,,,14,34,117,6.67,4.49,12.06
2017,Kevin King,Washington,CB,75,200,9.5,32,,4.43,11,39.5,,6.56,4.34,
2017,George Kittle,Iowa,TE,76,247,9.25,33.13,,4.52,18,35,132,,4.59,12.41
2017,DeShone Kizer,Notre Dame,QB,76,233,9.88,33.13,,4.83,,30.5,107,7.4,,
2017,Tanoh Kpassagnon,Villanova,DE,79,289,10.63,35.63,,4.83,23,30,128,7.46,4.69,
2017,Cooper Kupp,Eastern Washington,WR,74,204,9.5,31.5,,4.62,,31,116,6.75,4.12,
2017,Forrest Lamp,Western Kentucky,OG,76,309,10.63,32.25,,5,34,27.5,111,7.55,4.56,
2017,Ashton Lampkin,Oklahoma St.,CB,72,189,9.38,31,,4.52,19,34.5,120,,4.21,11.19
2017,Jerome Lane,Akron,WR,74,226,9.75,31.5,,4.6,16,35,125,6.87,4.71,
2017,Harvey Langi,BYU,DE,74,251,9.13,32.88,,,23,33,118,7,,
2017,Brendan Langley,Lamar,CB,72,201,9.5,32,,4.43,22,35.5,123,7.06,,
2017,Marshon Lattimore,Ohio St.,CB,72,193,8.88,31.25,,4.36,,38.5,132,,4.12,11.45
2017,Carl Lawson,Auburn,DE,74,261,10.38,31.5,,4.67,35,33,114,7.46,4.62,
2017,Javarius Leamon,South Carolina St.,OL,79,332,9.63,35.25,,,22,23.5,,,,
2017,Jeremiah Ledbetter,Arkansas,DE,75,280,10,34.25,,4.84,29,32.5,113,7.55,4.47,12.14
2017,Cameron Lee,Illinois St.,OG,77,312,10.88,33.88,,5.44,18,25.5,100,8.02,4.6,
